bank_name,reporting_date,demand_deposit_rate,savings_deposit_rate,time_deposit_rate
UNITED BANK FOR AFRICA,2026-02-27,,7.95,14.99
UNION BANK,2026-02-27,0.04,8.1,14.75
UNITY BANK,2026-02-27,2.5,8.1,14.5
WEMA BANK,2026-02-27,4.5,7.95,10.0
ZENITH BANK,2026-02-27,1.49,7.95,10.55
ACCESS BANK,2026-03-06,,,
ALPHA MORGAN BANK,2026-03-06,0.54,7.95,15.0
CITI BANK,2026-03-06,,8.1,18.0
CORONATION MERCHANT BANK,2026-03-06,1.55,7.95,7.8
ECOBANK,2026-03-06,,,13.51
FBN QUEST MERCHANT BANK,2026-03-06,1.3,5.8,14.0
FCMB,2026-03-06,,,8.32
FIDELITY BANK,2026-03-06,0.4,4.25,13.0
FIRST BANK OF NIGERIA,2026-03-06,0.5,7.95,10.0
FSDH MERCHANT BANK,2026-03-06,,8.25,11.05
GLOBUS BANK LTD,2026-03-06,0.5,,18.25
GREENWICH MERCHANT BANK,2026-03-06,0.01,8.18,15.45
GUARANTY TRUST BANK,2026-03-06,14.0,,18.0
KEYSTONE BANK LTD,2026-03-06,1.0,7.95,8.0
NOVA BANK,2026-03-06,1.11,7.95,19.39
OPTIMUS BANK,2026-03-06,,8.0,13.0
PARALLEX BANK,2026-03-06,7.33,7.95,9.04
POLARIS BANK,2026-03-06,,7.95,12.67
PREMIUM TRUST BANK,2026-03-06,,7.95,10.5
PROVIDUS BANK,2026-03-06,,7.95,15.0
RAND MERCHANT BANK NIG. LTD,2026-03-06,2.5,7.95,16.0
SIGNATURE BANK,2026-03-06,0.16,,17.25
STANBIC IBTC,2026-03-06,,7.95,12.58
STANDARD CHARTERED BANK,2026-03-06,0.05,2.7,9.62
STERLING BANK,2026-03-06,,8.1,12.31
SUNTRUST BANK,2026-03-06,0.33,7.95,16.21
TATUM BANK,2026-03-06,,8.1,15.3
UNITED BANK FOR AFRICA,2026-03-06,,7.95,14.86
UNION BANK,2026-03-06,0.04,8.1,14.75
UNITY BANK,2026-03-06,2.5,7.95,14.5
WEMA BANK,2026-03-06,4.5,7.95,10.0
ZENITH BANK,2026-03-06,1.49,7.95,10.63
ACCESS BANK,2026-03-13,,,
ALPHA MORGAN BANK,2026-03-13,0.53,7.95,15.0
CITI BANK,2026-03-13,,8.1,18.0
CORONATION MERCHANT BANK,2026-03-13,1.55,7.95,7.8
ECOBANK,2026-03-13,,,14.75
FBN QUEST MERCHANT BANK,2026-03-13,1.3,5.8,14.0
FCMB,2026-03-13,,,8.5
FIDELITY BANK,2026-03-13,0.53,4.25,13.0
FIRST BANK OF NIGERIA,2026-03-13,0.5,7.95,10.0
FSDH MERCHANT BANK,2026-03-13,,8.25,11.05
GLOBUS BANK LTD,2026-03-13,0.5,,18.0
GREENWICH MERCHANT BANK,2026-03-13,0.01,7.95,15.36
GUARANTY TRUST BANK,2026-03-13,14.0,,17.5
KEYSTONE BANK LTD,2026-03-13,1.0,7.95,8.0
NOVA BANK,2026-03-13,0.61,7.95,19.35
OPTIMUS BANK,2026-03-13,,8.0,13.43
PARALLEX BANK,2026-03-13,7.33,7.95,9.04
POLARIS BANK,2026-03-13,,7.95,12.68
PREMIUM TRUST BANK,2026-03-13,,7.95,10.5
PROVIDUS BANK,2026-03-13,,7.95,15.0
RAND MERCHANT BANK NIG. LTD,2026-03-13,2.5,7.95,16.0
SIGNATURE BANK,2026-03-13,0.15,,17.22
STANBIC IBTC,2026-03-13,,7.95,12.28
STANDARD CHARTERED BANK,2026-03-13,0.38,2.65,9.89
STERLING BANK,2026-03-13,,8.1,12.4
SUNTRUST BANK,2026-03-13,0.33,7.95,16.21
TATUM BANK,2026-03-13,,8.1,15.1
UNITED BANK FOR AFRICA,2026-03-13,,7.95,15.01
UNION BANK,2026-03-13,0.04,8.1,14.75
UNITY BANK,2026-03-13,2.5,7.95,14.5
WEMA BANK,2026-03-13,4.5,7.95,10.0
ZENITH BANK,2026-03-13,1.49,7.95,10.73
ACCESS BANK,2026-03-20,,,
ALPHA MORGAN BANK,2026-03-20,0.52,7.95,15.0
CITI BANK,2026-03-20,,7.95,18.0
CORONATION MERCHANT BANK,2026-03-20,1.55,7.95,7.8
ECOBANK,2026-03-20,,,16.0
FBN QUEST MERCHANT BANK,2026-03-20,1.3,5.8,14.0
FCMB,2026-03-20,,,7.84
FIDELITY BANK,2026-03-20,0.5,4.25,13.0
FIRST BANK OF NIGERIA,2026-03-20,0.5,7.95,10.0
FSDH MERCHANT BANK,2026-03-20,,8.25,11.05
GLOBUS BANK LTD,2026-03-20,0.5,,17.8
GREENWICH MERCHANT BANK,2026-03-20,0.01,7.95,15.3
GUARANTY TRUST BANK,2026-03-20,14.0,,17.5
KEYSTONE BANK LTD,2026-03-20,1.0,7.95,8.0
NOVA BANK,2026-03-20,2.1,7.95,19.59
OPTIMUS BANK,2026-03-20,,8.0,13.14
PARALLEX BANK,2026-03-20,7.33,7.95,9.04
POLARIS BANK,2026-03-20,,7.95,12.66
