bank_name,sector,prime_rate,max_rate,reporting_date
STERLING BANK,TRANSPORTATION & STORAGE,23.0,26.0,2026-01-02
SUNTRUST BANK,TRANSPORTATION & STORAGE,27.5,35.0,2026-01-02
TATUM BANK,TRANSPORTATION & STORAGE,22.0,30.0,2026-01-02
UNITED BANK FOR AFRICA,TRANSPORTATION & STORAGE,,,2026-01-02
UNION BANK,TRANSPORTATION & STORAGE,28.5,32.0,2026-01-02
UNITY BANK,TRANSPORTATION & STORAGE,27.0,34.0,2026-01-02
WEMA BANK,TRANSPORTATION & STORAGE,30.0,38.0,2026-01-02
ZENITH BANK,TRANSPORTATION & STORAGE,32.5,34.5,2026-01-02
ACCESS BANK,FINANCE & INSURANCE,,,2026-01-02
ALPHA MORGAN BANK,FINANCE & INSURANCE,25.5,32.0,2026-01-02
CITI BANK,FINANCE & INSURANCE,,,2026-01-02
CORONATION MERCHANT BANK,FINANCE & INSURANCE,19.5,24.0,2026-01-02
ECOBANK,FINANCE & INSURANCE,,,2026-01-02
FBN QUEST MERCHANT BANK,FINANCE & INSURANCE,26.75,35.0,2026-01-02
FCMB,FINANCE & INSURANCE,,,2026-01-02
FIDELITY BANK,FINANCE & INSURANCE,31.0,39.5,2026-01-02
FIRST BANK OF NIGERIA,FINANCE & INSURANCE,30.0,36.0,2026-01-02
FSDH MERCHANT BANK,FINANCE & INSURANCE,26.0,34.0,2026-01-02
GLOBUS BANK LTD,FINANCE & INSURANCE,25.0,33.0,2026-01-02
GREENWICH MERCHANT BANK,FINANCE & INSURANCE,31.0,33.0,2026-01-02
GUARANTY TRUST BANK,FINANCE & INSURANCE,27.0,30.0,2026-01-02
KEYSTONE BANK LTD,FINANCE & INSURANCE,29.0,29.0,2026-01-02
NOVA BANK,FINANCE & INSURANCE,30.5,36.0,2026-01-02
OPTIMUS BANK,FINANCE & INSURANCE,30.0,24.5,2026-01-02
PARALLEX BANK,FINANCE & INSURANCE,28.5,35.0,2026-01-02
POLARIS BANK,FINANCE & INSURANCE,30.0,32.5,2026-01-02
PREMIUM TRUST BANK,FINANCE & INSURANCE,29.0,36.0,2026-01-02
PROVIDUS BANK,FINANCE & INSURANCE,28.0,32.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,FINANCE & INSURANCE,27.0,35.0,2026-01-02
SIGNATURE BANK,FINANCE & INSURANCE,,,2026-01-02
STANBIC IBTC,FINANCE & INSURANCE,32.0,36.0,2026-01-02
STANDARD CHARTERED BANK,FINANCE & INSURANCE,8.0,48.0,2026-01-02
STERLING BANK,FINANCE & INSURANCE,23.0,26.0,2026-01-02
SUNTRUST BANK,FINANCE & INSURANCE,27.5,35.0,2026-01-02
TATUM BANK,FINANCE & INSURANCE,25.5,38.0,2026-01-02
UNITED BANK FOR AFRICA,FINANCE & INSURANCE,,,2026-01-02
UNION BANK,FINANCE & INSURANCE,28.5,32.0,2026-01-02
UNITY BANK,FINANCE & INSURANCE,,,2026-01-02
WEMA BANK,FINANCE & INSURANCE,30.0,38.0,2026-01-02
ZENITH BANK,FINANCE & INSURANCE,32.5,32.5,2026-01-02
ACCESS BANK,GENERAL,,,2026-01-02
ALPHA MORGAN BANK,GENERAL,25.5,32.0,2026-01-02
CITI BANK,GENERAL,28.0,32.0,2026-01-02
CORONATION MERCHANT BANK,GENERAL,19.5,24.0,2026-01-02
ECOBANK,GENERAL,25.0,33.0,2026-01-02
FBN QUEST MERCHANT BANK,GENERAL,26.75,48.0,2026-01-02
FCMB,GENERAL,5.0,33.5,2026-01-02
FIDELITY BANK,GENERAL,31.0,46.1,2026-01-02
FIRST BANK OF NIGERIA,GENERAL,30.0,36.0,2026-01-02
FSDH MERCHANT BANK,GENERAL,26.0,38.0,2026-01-02
GLOBUS BANK LTD,GENERAL,27.0,33.0,2026-01-02
GREENWICH MERCHANT BANK,GENERAL,31.0,33.0,2026-01-02
GUARANTY TRUST BANK,GENERAL,27.0,30.0,2026-01-02
KEYSTONE BANK LTD,GENERAL,3.0,35.0,2026-01-02
NOVA BANK,GENERAL,30.5,36.0,2026-01-02
OPTIMUS BANK,GENERAL,30.0,22.02,2026-01-02
PARALLEX BANK,GENERAL,28.5,35.0,2026-01-02
POLARIS BANK,GENERAL,30.0,32.5,2026-01-02
PREMIUM TRUST BANK,GENERAL,29.0,39.9,2026-01-02
PROVIDUS BANK,GENERAL,28.0,36.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,GENERAL,27.0,35.0,2026-01-02
SIGNATURE BANK,GENERAL,22.5,23.0,2026-01-02
STANBIC IBTC,GENERAL,,,2026-01-02
STANDARD CHARTERED BANK,GENERAL,1.0,60.0,2026-01-02
STERLING BANK,GENERAL,27.0,29.0,2026-01-02
SUNTRUST BANK,GENERAL,27.5,35.0,2026-01-02
TATUM BANK,GENERAL,22.0,37.0,2026-01-02
UNITED BANK FOR AFRICA,GENERAL,33.05,38.05,2026-01-02
UNION BANK,GENERAL,28.5,32.0,2026-01-02
UNITY BANK,GENERAL,16.0,37.0,2026-01-02
WEMA BANK,GENERAL,30.0,38.0,2026-01-02
ZENITH BANK,GENERAL,32.5,34.5,2026-01-02
ACCESS BANK,GOVERNMENT,,,2026-01-02
ALPHA MORGAN BANK,GOVERNMENT,23.0,28.5,2026-01-02
CITI BANK,GOVERNMENT,,,2026-01-02
CORONATION MERCHANT BANK,GOVERNMENT,,,2026-01-02
ECOBANK,GOVERNMENT,,,2026-01-02
FBN QUEST MERCHANT BANK,GOVERNMENT,26.75,35.0,2026-01-02
FCMB,GOVERNMENT,,,2026-01-02
FIDELITY BANK,GOVERNMENT,20.0,31.0,2026-01-02
FIRST BANK OF NIGERIA,GOVERNMENT,30.0,36.0,2026-01-02
FSDH MERCHANT BANK,GOVERNMENT,26.0,32.0,2026-01-02
GLOBUS BANK LTD,GOVERNMENT,,,2026-01-02
GREENWICH MERCHANT BANK,GOVERNMENT,31.0,33.0,2026-01-02
GUARANTY TRUST BANK,GOVERNMENT,,,2026-01-02
KEYSTONE BANK LTD,GOVERNMENT,19.0,22.0,2026-01-02
NOVA BANK,GOVERNMENT,30.5,36.0,2026-01-02
OPTIMUS BANK,GOVERNMENT,,,2026-01-02
PARALLEX BANK,GOVERNMENT,28.5,35.0,2026-01-02
POLARIS BANK,GOVERNMENT,30.0,32.5,2026-01-02
PREMIUM TRUST BANK,GOVERNMENT,29.0,36.0,2026-01-02
PROVIDUS BANK,GOVERNMENT,28.0,35.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,GOVERNMENT,27.0,35.0,2026-01-02
SIGNATURE BANK,GOVERNMENT,,,2026-01-02
STANBIC IBTC,GOVERNMENT,,,2026-01-02
STANDARD CHARTERED BANK,GOVERNMENT,21.0,28.0,2026-01-02
STERLING BANK,GOVERNMENT,23.0,26.0,2026-01-02
SUNTRUST BANK,GOVERNMENT,27.5,35.0,2026-01-02
TATUM BANK,GOVERNMENT,,,2026-01-02
UNITED BANK FOR AFRICA,GOVERNMENT,,,2026-01-02
UNION BANK,GOVERNMENT,28.5,32.0,2026-01-02
UNITY BANK,GOVERNMENT,25.0,27.0,2026-01-02
WEMA BANK,GOVERNMENT,30.0,38.0,2026-01-02
ZENITH BANK,GOVERNMENT,32.5,30.5,2026-01-02
ACCESS BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
ALPHA MORGAN BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",25.5,28.5,2026-01-02
